Loading data from data/history/banknifty_spot_m1.json...
Loaded 7513 candles.
Running Replay...
📊 Strategy Scan: Price=59603.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59581.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59593.30, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59583.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59580.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59559.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59559.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59560.70, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59536.15, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59528.85, Score=-0.5 (Mom=-0.5, Str=0.0)
📊 Strategy Scan: Price=59523.65, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59526.35, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59536.00, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59535.70, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59534.25, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59535.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59545.65, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59550.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59544.15, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59546.30, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59556.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59545.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59531.65, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59529.25, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59529.00, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59517.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59517.80, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59506.05, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59526.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59539.40, Score=0.5 (Mom=0.5, Str=0.0)
📊 Strategy Scan: Price=59543.60, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59564.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59540.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59515.50, Score=-0.5 (Mom=-0.5, Str=0.0)
📊 Strategy Scan: Price=59510.50, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59506.80, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59474.50, Score=-0.5 (Mom=-0.5, Str=0.0)
📊 Strategy Scan: Price=59466.00, Score=-0.5 (Mom=-0.5, Str=0.0)
📊 Strategy Scan: Price=59470.10, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59459.90, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59461.05, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59445.60, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59441.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59431.30, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59417.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59433.50, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59422.60, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59425.50, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59443.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59436.85, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59416.50, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59420.50, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59411.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59397.20, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59387.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59388.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59402.35, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59404.40, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59420.10, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59422.85, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59419.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59418.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59413.10, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59399.60, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59392.20, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59402.85, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59399.40, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59387.60, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59374.10, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59373.85, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59371.70, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59384.65, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59381.25, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59367.25, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59378.00, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59388.25, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59383.90, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59374.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59378.40, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59400.80, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59404.35, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59410.40, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59420.60, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59437.05, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59441.30, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59430.80, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59423.70, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59419.90, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59414.85, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59403.10, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59400.90, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59394.65, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59396.30, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59416.80, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59421.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59413.05, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59400.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59400.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59387.65, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59407.25, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59403.80, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59401.55, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59396.20, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59396.15, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59400.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59396.75, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59409.05, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59401.95, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59400.45, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59363.25, Score=-0.5 (Mom=-0.5, Str=0.0)
📊 Strategy Scan: Price=59368.85, Score=-0.5 (Mom=-0.5, Str=0.0)
📊 Strategy Scan: Price=59396.65, Score=0.5 (Mom=0.5, Str=0.0)
📊 Strategy Scan: Price=59383.15, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59375.30, Score=0.0 (Mom=0.0, Str=0.0)
📊 Strategy Scan: Price=59373.00, Score=0.0 (Mom=0.0, Str=0.0)
